id;nome;email;foto;foto_content_type;data_nascimento;telefone;status
1;bandwidth 1080p;MariaJlia.Albuquerque0@yahoo.com;../fake-data/blob/hipster.png;image/png;2021-05-10;Executive hierarchy Regional;CANCELADO
2;Naira Concreto;Antnio.Saraiva@bol.com.br;../fake-data/blob/hipster.png;image/png;2021-05-10;HDD;ATIVO
3;Aço Acre;AnaJlia_Albuquerque14@yahoo.com;../fake-data/blob/hipster.png;image/png;2021-05-10;Legacy Pernambuco contingency;PREATIVO
4;seize Bebê da;MariaHelena33@yahoo.com;../fake-data/blob/hipster.png;image/png;2021-05-10;initiative;PREATIVO
5;SMTP policy;Meire_Braga@bol.com.br;../fake-data/blob/hipster.png;image/png;2021-05-10;brand;SUSPENSO
6;invoice Distrito;Karla_Melo@gmail.com;../fake-data/blob/hipster.png;image/png;2021-05-10;intermediate aggregate;PREATIVO
7;Agent;Fbio.Silva@live.com;../fake-data/blob/hipster.png;image/png;2021-05-10;Ergonômico Creative virtual;CANCELADO
8;users;Ricardo.Melo@live.com;../fake-data/blob/hipster.png;image/png;2021-05-10;Chapéu Fresco;ATIVO
9;world-class;Isabelly_Moreira51@hotmail.com;../fake-data/blob/hipster.png;image/png;2021-05-10;Paraná Pernambuco Expanded;CANCELADO
10;Organic maximize;Marina99@live.com;../fake-data/blob/hipster.png;image/png;2021-05-10;circuit;ATIVO
